timestamp,cash,position_value,total_value,daily_return
2022-04-04 04:00:00+00:00,11226.612705579726,118710.7407926427,129937.35349822242,-0.003980526327727633
2022-04-05 04:00:00+00:00,7075.5290558393945,123394.27861088922,130469.80766672861,0.004097775998750575
2022-04-06 04:00:00+00:00,4236.340484079419,128684.00721827202,132920.34770235143,0.018782430046056838
2022-04-07 04:00:00+00:00,6029.650664787133,127864.80503527186,133894.45570005898,0.00732850925043378
2022-04-08 04:00:00+00:00,3901.297729700128,131260.25203120368,135161.5497609038,0.009463379601641496
2022-04-11 04:00:00+00:00,3240.8134346301063,129654.61384251133,132895.42727714143,-0.016766029153787318
2022-04-12 04:00:00+00:00,2167.4487180151687,131039.69133864428,133207.14005665944,0.002345549323288334
2022-04-13 04:00:00+00:00,1457.7040499738127,132112.39820809595,133570.10225806976,0.0027247953920183036
2022-04-14 04:00:00+00:00,733.1254870981771,133009.5851932032,133742.7106803014,0.0012922683992420117
2022-04-18 04:00:00+00:00,571.8863206936692,132606.20904937445,133178.09537006813,-0.004221652958589403
2022-04-19 04:00:00+00:00,401.25302987286085,134063.5626832356,134464.81571310846,0.00966165148604102
2022-04-20 04:00:00+00:00,348.7474340178872,134777.02846267587,135125.77589669375,0.0049154879667221455
2022-04-21 04:00:00+00:00,774.3602501283049,133138.96952870453,133913.32977883285,-0.008972722708270283
2022-04-22 04:00:00+00:00,363.6814421299006,130879.72250004148,131243.40394217137,-0.019937715245159304
2022-04-25 04:00:00+00:00,573.579058339429,131465.23069689889,132038.80975523833,0.006060539342742367
2022-04-26 04:00:00+00:00,1120.6630179365002,129549.71777702306,130670.38079495956,-0.010363838956254088
2022-04-27 04:00:00+00:00,1178.057978327545,129437.77118188067,130615.82916020822,-0.00041747513414648173
2022-04-28 04:00:00+00:00,1383.7164148454463,131189.17148025648,132572.8878951019,0.0149833197666513
2022-04-29 04:00:00+00:00,674.7526412094803,128419.86280724246,129094.61544845194,-0.026236680077469203
2022-05-02 04:00:00+00:00,329.00874770789346,128265.11755458469,128594.12630229259,-0.003876917285982375
2022-05-03 04:00:00+00:00,209.02348248538104,128774.83547736215,128983.85895984754,0.0030307189664229954
2022-05-04 04:00:00+00:00,94.19376290996576,131671.87664812474,131766.0704110347,0.02157022959014798
2022-05-05 04:00:00+00:00,544.2069532534548,129349.16485507983,129893.37180833328,-0.014212297572961595
2022-05-06 04:00:00+00:00,205.29618969520837,130243.53349084036,130448.82968053556,0.004276260323905534
2022-05-09 04:00:00+00:00,73.53164252208668,127711.38622261026,127784.91786513235,-0.020421124681049584
2022-05-10 04:00:00+00:00,26.29590728798629,127735.82855496882,127762.1244622568,-0.00017837318563367196
2022-05-11 04:00:00+00:00,9.362561171944128,127881.20591064186,127890.5684718138,0.0010053371458686663
2022-05-12 04:00:00+00:00,3.2921949700716464,128263.29020573602,128266.58240070609,0.0029401224295531295
2022-05-13 04:00:00+00:00,5.493934060742124,129362.21766038726,129367.711594448,0.008584692701189908
2022-05-16 04:00:00+00:00,284.0456711821872,130514.61947030005,130798.66514148224,0.011061133642992023
2022-05-17 04:00:00+00:00,463.77080470512084,129923.50024252423,130387.27104722935,-0.0031452468861810595
2022-05-18 04:00:00+00:00,230.79243030122865,125755.18341635836,125985.97584665958,-0.033755558845736715
2022-05-19 04:00:00+00:00,1055.5042762783237,124173.03070665953,125228.53498293785,-0.006012104590463514
2022-05-20 04:00:00+00:00,2292.8431342623458,124181.10563112017,126473.94876538252,0.00994512778269227
2022-05-23 04:00:00+00:00,1062.2004453587629,127432.24431392484,128494.4447592836,0.01597559033796933
2022-05-24 04:00:00+00:00,1809.8411306141736,127971.3719893183,129781.21311993248,0.01001419448957087
2022-05-25 04:00:00+00:00,1880.6661907353387,128229.42973323616,130110.0959239715,0.002534132607738047
2022-05-26 04:00:00+00:00,1670.1636553579463,128946.4665675545,130616.63022291244,0.0038931206325213087
2022-05-27 04:00:00+00:00,1237.5141472010962,130488.48627238665,131726.00041958774,0.008493330403502454
2022-05-31 04:00:00+00:00,2183.302500587261,127763.73320041133,129947.03570099859,-0.013505038587086855
2022-06-01 04:00:00+00:00,1120.7323882891453,128248.46294488372,129369.19533317287,-0.004446737585883045
2022-06-02 04:00:00+00:00,616.8238791692678,129127.49081524687,129744.31469441614,0.002899603420097031
2022-06-03 04:00:00+00:00,372.5023104825412,128966.6934416541,129339.19575213664,-0.0031224408039278416
2022-06-06 04:00:00+00:00,1967.428004199085,126693.84395545775,128661.27195965683,-0.005241441223888297
2022-06-07 04:00:00+00:00,1031.7372602978487,129441.52691712375,130473.26417742159,0.014083431557655698
2022-06-08 04:00:00+00:00,8758.149900031214,121267.20136268163,130025.35126271285,-0.0034329861947781965
2022-06-09 04:00:00+00:00,4534.885766706111,123137.25300498804,127672.13877169415,-0.0180981052399858
2022-06-10 04:00:00+00:00,2543.6143947039377,123678.10470720906,126221.719101913,-0.011360502641651723
2022-06-13 04:00:00+00:00,1305.6956466453846,122227.18825760832,123532.8839042537,-0.02130247644217472
2022-06-14 04:00:00+00:00,795.5139259998466,121005.12298078756,121800.6369067874,-0.014022557741053826
2022-06-15 04:00:00+00:00,547.9827816510135,121865.02409587664,122413.00687752764,0.005027641778333891
2022-06-16 04:00:00+00:00,281.2539569423574,120560.74398665201,120841.99794359437,-0.012833676534921226
2022-06-17 04:00:00+00:00,144.3308263957219,119586.52743961466,119730.85826601037,-0.00919497936555671
2022-06-21 04:00:00+00:00,103.83955352490128,123678.70682879395,123782.54638231885,0.03383996552757264
2022-06-22 04:00:00+00:00,50.588719594533714,124295.5561325783,124346.14485217285,0.00455313359052454
2022-06-23 04:00:00+00:00,52.694916328173164,125424.31601343415,125477.01092976231,0.009094500508510994
2022-06-24 04:00:00+00:00,1018.530239709828,126293.34487758142,127311.87511729125,0.014623110432205192
2022-06-27 04:00:00+00:00,16250.40951958614,111604.69218725554,127855.10170684168,0.004266896462328979
2022-06-28 04:00:00+00:00,8341.970411137778,118366.58124756688,126708.55165870466,-0.00896757370516152
2022-06-29 04:00:00+00:00,30485.0398557098,95954.28952761037,126439.32938332018,-0.0021247364274958025
2022-06-30 04:00:00+00:00,22999.253472583037,102213.64287929666,125212.8963518797,-0.009699774883512395
2022-07-01 04:00:00+00:00,12427.832658628944,113499.17662643848,125927.00928506743,0.0057031899588113845
2022-07-05 04:00:00+00:00,6727.704636794851,117711.3751081326,124439.07974492745,-0.011815809400917875
2022-07-06 04:00:00+00:00,19240.697942868403,105322.17460055945,124562.87254342785,0.0009948064446807182
2022-07-07 04:00:00+00:00,11824.239631048244,114680.55322619565,126504.7928572439,0.015589880629471009
2022-07-08 04:00:00+00:00,6389.301199586021,120016.37228391094,126405.67348349695,-0.0007835226753724386
2022-07-11 04:00:00+00:00,3115.8510965688533,121786.5185981662,124902.36969473505,-0.011892692371582237
2022-07-12 04:00:00+00:00,1443.4928166470165,123206.66114802752,124650.15396467454,-0.0020193030018320715
2022-07-13 04:00:00+00:00,1056.9235174931407,122219.11329393307,123276.03681142621,-0.011023790260521846
2022-07-14 04:00:00+00:00,6968.736615159736,115387.76307606323,122356.49969122297,-0.007459171660505638
2022-07-15 04:00:00+00:00,4306.524041589793,121226.45406923354,125532.97811082334,0.025960847422216948
2022-07-18 04:00:00+00:00,2210.6713574113064,113755.68969219565,115966.36104960696,-0.07620799892734767
2022-07-19 04:00:00+00:00,1386.3007327660732,118398.0805447477,119784.38127751378,0.03292351500340329
2022-07-20 04:00:00+00:00,1133.8272208299009,118736.31985018171,119870.14707101161,0.0007160014735070841
2022-07-21 04:00:00+00:00,12537.333986852289,108118.95905924679,120656.29304609908,0.006558313260613148
2022-07-22 04:00:00+00:00,7547.49307541402,112161.7915687363,119709.28464415032,-0.00784881068397263
2022-07-25 04:00:00+00:00,22525.393646874363,97780.89014412671,120306.28379100107,0.004987074717098173
2022-07-26 04:00:00+00:00,13486.745120963107,105755.74636711672,119242.49148807983,-0.008842366910520526
2022-07-27 04:00:00+00:00,7671.218749322138,113380.75053783285,121051.96928715499,0.015174773493021545
2022-07-28 04:00:00+00:00,4363.34681249657,118167.08370889442,122530.430521391,0.0122134422342924
2022-07-29 04:00:00+00:00,17427.179226476852,107428.06019918046,124855.23942565732,0.018973318663566285
2022-08-01 04:00:00+00:00,13796.41852326265,110999.40990833711,124795.82843159976,-0.00047583901429249415
2022-08-02 04:00:00+00:00,16140.603052300608,107106.0242510233,123246.6273033239,-0.012413885526029213
2022-08-03 04:00:00+00:00,8721.69171627775,115627.19482081008,124348.88653708783,0.008943524523808278
2022-08-04 04:00:00+00:00,7137.932209226591,116401.64680127756,123539.57901050415,-0.006508361667897206
2022-08-05 04:00:00+00:00,4110.037116974877,119585.3299717353,123695.36708871018,0.0012610377941532215
2022-08-08 04:00:00+00:00,6389.860152928581,117720.18921197556,124110.04936490415,0.003352447920677361
2022-08-09 04:00:00+00:00,2960.312499922088,121389.17664668901,124349.4891466111,0.0019292537786602768
2022-08-10 04:00:00+00:00,1375.6584001875458,124613.84856955518,125989.50696974272,0.013188778131593309
2022-08-11 04:00:00+00:00,998.8726150757636,124893.6221814209,125892.49479649666,-0.0007700020071462505
2022-08-12 04:00:00+00:00,5931.108645089681,122002.4875542088,127933.59619929848,0.016213050715225205
2022-08-15 04:00:00+00:00,3366.1114726169867,124587.98726468312,127954.09873730011,0.00016025921736532002
2022-08-16 04:00:00+00:00,8889.682131080766,119783.87958421494,128673.56171529571,0.0056228208794836315
2022-08-17 04:00:00+00:00,3912.530194392572,124090.50431111555,128003.03450550813,-0.005211072118071935
2022-08-18 04:00:00+00:00,1721.952893124313,126761.66679098515,128483.61968410946,0.0037544827000226865
2022-08-19 04:00:00+00:00,719.9253329382917,126654.3518386833,127374.2771716216,-0.00863411628046677
2022-08-22 04:00:00+00:00,908.2168313605872,124640.70590441758,125548.92273577818,-0.014330636266410124
2022-08-23 04:00:00+00:00,379.6857380137097,125176.59332412553,125556.27906213923,5.859330530885928e-05
2022-08-24 04:00:00+00:00,186.82021108066274,125457.78121258733,125644.60142366799,0.0007034483833743216
2022-08-25 04:00:00+00:00,82.16856980661694,127506.60095157207,127588.76952137868,0.015473550599719282
2022-08-26 04:00:00+00:00,36.10859156373156,123811.39097856064,123847.49957012438,-0.029322878222659086
2022-08-29 04:00:00+00:00,15.836366781517597,123935.492209892,123951.32857667352,0.0008383617506169833
2022-08-30 04:00:00+00:00,6.563319020863902,122261.051188656,122267.61450767686,-0.013583671012894016
2022-08-31 04:00:00+00:00,2.6860691826759355,121414.113850024,121416.79991920668,-0.006958625895304111
2022-09-01 04:00:00+00:00,1.064912180604282,121270.03270471691,121271.09761689752,-0.0012000176450550006
